models                                       LL-train  LL-valid  LL-test  PPL-train  PPL-valid  PPL-test  WER    LL-wsj   PPL-wsj   #feat     
1:LSTM:h250d0epoch10                         105.703   115.391   117.558  54.932     80.693     81.995    7.192  110.927  627.225   9873000   
2:LSTM:h250d0epoch10                         106.830   112.274   114.373  57.387     71.666     72.766    6.875  107.048  500.726   9866000   
4:LSTM:h250d0epoch10                         107.422   110.303   112.407  58.700     66.489     67.598    6.688  105.757  464.572   9869500   
1:RNN:h250_c200_bptt4                        118.517   123.262   125.411  89.279     108.868    110.058   7.472  114.150  756.298   8986000   
2:RNN:h250_c200_bptt4                        117.160   120.473   122.497  84.896     97.908     98.671    7.734  115.850  834.788   8979000   
4:RNN:h250_c200_bptt4                        116.608   118.458   120.551  83.153     90.681     91.728    7.734  112.296  679.127   8982500   
1:KN5                                        57.222    126.876   129.479  8.747      124.917    128.187   8.238  112.325  680.278   18115110  
2:KN5                                        56.994    123.450   125.971  8.676      109.647    112.396   8.257  111.016  630.461   33595819  
4:KN5                                        57.022    119.926   122.584  8.686      95.888     98.993    7.659  110.186  600.794   61824428  
1:trf_c200_g4_w_c_ws_cs_wsh_csh_tied         96.558    182.676   190.181  38.843     1044.023   1247.524  7.753  145.646  4709.611  17453151  
2:trf_c200_g4_w_c_ws_cs_wsh_csh_tied         106.916   119.331   122.257  57.575     93.743     97.787    7.174  107.886  525.692   29191795  
4:trf_c200_g4_w_c_ws_cs_wsh_csh_tied         110.930   117.324   120.280  67.050     86.850     90.802    7.099  103.868  416.297   48656773  
2:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n10000  0         0         0        0          0          0         7.267  112.622  692.109   29191795  
2:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n20000  0         0         0        0          0          0         7.398  103.374  404.519   29191795  
2:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n30000  0         0         0        0          0          0         7.528  107.569  516.099   29191795  
2:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n40000  0         0         0        0          0          0         7.435  109.400  574.016   29191795  
4:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n10000  0         0         0        0          0          0         7.566  103.744  413.317   48656773  
4:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n20000  0         0         0        0          0          0         7.360  104.606  434.517   48656773  
4:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n30000  0         0         0        0          0          0         7.080  106.353  480.922   48656773  
4:trf_c200_g4_w_c_ws_cs_wsh_csh_tied.n40000  0         0         0        0          0          0         7.061  106.693  490.502   48656773  
