models                                                        LL-train    LL-valid     LL-test      PPL-train  PPL-valid     PPL-test      WER        LL-wsj       PPL-wsj       
KN2                                                           99.966      115.858      114.498      92.197     199.019       185.705       9.228      100.713      346.618       
KN3                                                           66.162      110.774      109.566      19.967     157.766       148.281       8.799      98.267       300.713       
KN4                                                           50.436      109.654      108.727      9.801      149.896       142.716       8.817      97.984       295.814       
KN5                                                           45.530      109.377      108.491      7.849      148.009       141.187       8.780      97.904       294.437       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied                            38.103      108.590      108.297      5.609      142.785       139.941       7.883      96.004       263.679       
RNN:h250c200bptt4_3gram                                       0           0            0            0          0             0             9.191      0            0             
RNN:h250c1bptt4_3gram                                         93.404      108.661      107.797      68.507     143.250       136.785       9.079      97.429       286.430       
RNN:h250c1bptt5                                               96.297      107.273      106.248      78.089     134.445       127.450       7.902      95.601       257.591       
RNN:h250c200bptt5                                             99.643      109.754      108.918      90.856     150.585       143.961       8.500      98.032       296.641       
trf_c200_g4_w_c_ws_cs_skipbigram                              16.546      109.685      109.679      2.114      150.110       149.050       8.033      97.326       284.727       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied:AIS10-1000                 39.325      109.819      109.558      5.928      151.032       148.229       8.350      97.382       285.643       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied:AIS10-10000                42.520      112.893      112.593      6.850      173.805       170.244       8.444      100.322      338.827       
trf_c200_g4_w_c_ws_cs_cpw                                     48.408      108.063      107.435      8.941      139.388       134.544       8.201      95.146       250.869       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run0                       43.275      109.297      109.169      7.088      147.472       145.621       8.033      95.114       250.408       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run1                       37.798      108.251      107.983      5.532      140.590       137.951       7.827      95.686       258.864       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run2                       37.185      107.742      107.602      5.381      137.358       135.573       7.827      95.112       250.367       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run3                       36.300      106.770      106.721      5.169      131.392       130.232       7.865      95.027       249.143       
LSTM:h250d0epoch10                                            0           0            0            0          0             0             7.865      98.584       306.299       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run4                       35.374      106.168      105.767      4.957      127.827       124.685       7.958      94.562       242.503       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run5                       37.788      108.321      108.098      5.529      141.041       138.676       7.883      95.944       262.766       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run6                       36.566      107.021      106.935      5.232      132.907       131.510       7.921      94.554       242.397       
